Epoch:0   Accuracy:58.71   Best_Accuracy:58.71
Epoch:1   Accuracy:69.40   Best_Accuracy:69.40
Epoch:2   Accuracy:71.70   Best_Accuracy:71.70
Epoch:3   Accuracy:77.67   Best_Accuracy:77.67
Epoch:4   Accuracy:79.26   Best_Accuracy:79.26
Epoch:5   Accuracy:83.91   Best_Accuracy:83.91
Epoch:6   Accuracy:84.43   Best_Accuracy:84.43
Epoch:7   Accuracy:84.96   Best_Accuracy:84.96
Epoch:8   Accuracy:85.13   Best_Accuracy:85.13
Epoch:9   Accuracy:85.84   Best_Accuracy:85.84
Epoch:10   Accuracy:87.35   Best_Accuracy:87.35
Epoch:11   Accuracy:87.54   Best_Accuracy:87.54
Epoch:12   Accuracy:87.70   Best_Accuracy:87.70
Epoch:13   Accuracy:88.19   Best_Accuracy:88.19
Epoch:14   Accuracy:88.17   Best_Accuracy:88.19
Epoch:15   Accuracy:88.85   Best_Accuracy:88.85
Epoch:16   Accuracy:88.36   Best_Accuracy:88.85
Epoch:17   Accuracy:89.08   Best_Accuracy:89.08
Epoch:18   Accuracy:88.13   Best_Accuracy:89.08
Epoch:19   Accuracy:89.79   Best_Accuracy:89.79
Epoch:20   Accuracy:88.75   Best_Accuracy:89.79
Epoch:21   Accuracy:89.22   Best_Accuracy:89.79
Epoch:22   Accuracy:89.61   Best_Accuracy:89.79
Epoch:23   Accuracy:89.22   Best_Accuracy:89.79
Epoch:24   Accuracy:88.83   Best_Accuracy:89.79
Epoch:25   Accuracy:88.95   Best_Accuracy:89.79
Epoch:26   Accuracy:89.84   Best_Accuracy:89.84
Epoch:27   Accuracy:90.42   Best_Accuracy:90.42
Epoch:28   Accuracy:90.60   Best_Accuracy:90.60
Epoch:29   Accuracy:90.27   Best_Accuracy:90.60
Epoch:30   Accuracy:91.84   Best_Accuracy:91.84
Epoch:31   Accuracy:91.82   Best_Accuracy:91.84
Epoch:32   Accuracy:91.97   Best_Accuracy:91.97
Epoch:33   Accuracy:91.88   Best_Accuracy:91.97
Epoch:34   Accuracy:92.17   Best_Accuracy:92.17
Epoch:35   Accuracy:91.61   Best_Accuracy:92.17
Epoch:36   Accuracy:91.88   Best_Accuracy:92.17
Epoch:37   Accuracy:92.53   Best_Accuracy:92.53
Epoch:38   Accuracy:92.21   Best_Accuracy:92.53
Epoch:39   Accuracy:92.14   Best_Accuracy:92.53
Epoch:40   Accuracy:92.44   Best_Accuracy:92.53
Epoch:41   Accuracy:92.57   Best_Accuracy:92.57
Epoch:42   Accuracy:92.36   Best_Accuracy:92.57
Epoch:43   Accuracy:92.46   Best_Accuracy:92.57
Epoch:44   Accuracy:92.70   Best_Accuracy:92.70
Epoch:45   Accuracy:92.73   Best_Accuracy:92.73
Epoch:46   Accuracy:93.08   Best_Accuracy:93.08
Epoch:47   Accuracy:92.85   Best_Accuracy:93.08
Epoch:48   Accuracy:92.95   Best_Accuracy:93.08
Epoch:49   Accuracy:92.04   Best_Accuracy:93.08
Epoch:50   Accuracy:91.97   Best_Accuracy:93.08
Epoch:51   Accuracy:92.68   Best_Accuracy:93.08
Epoch:52   Accuracy:92.75   Best_Accuracy:93.08
Epoch:53   Accuracy:93.17   Best_Accuracy:93.17
Epoch:54   Accuracy:92.74   Best_Accuracy:93.17
Epoch:55   Accuracy:92.91   Best_Accuracy:93.17
Epoch:56   Accuracy:92.84   Best_Accuracy:93.17
Epoch:57   Accuracy:92.93   Best_Accuracy:93.17
Epoch:58   Accuracy:92.00   Best_Accuracy:93.17
Epoch:59   Accuracy:93.13   Best_Accuracy:93.17
Epoch:60   Accuracy:93.46   Best_Accuracy:93.46
Epoch:61   Accuracy:92.70   Best_Accuracy:93.46
Epoch:62   Accuracy:93.14   Best_Accuracy:93.46
Epoch:63   Accuracy:93.30   Best_Accuracy:93.46
Epoch:64   Accuracy:92.90   Best_Accuracy:93.46
Epoch:65   Accuracy:92.68   Best_Accuracy:93.46
Epoch:66   Accuracy:92.82   Best_Accuracy:93.46
Epoch:67   Accuracy:93.17   Best_Accuracy:93.46
Epoch:68   Accuracy:93.07   Best_Accuracy:93.46
Epoch:69   Accuracy:92.97   Best_Accuracy:93.46
Epoch:70   Accuracy:93.04   Best_Accuracy:93.46
Epoch:71   Accuracy:92.54   Best_Accuracy:93.46
Epoch:72   Accuracy:93.34   Best_Accuracy:93.46
Epoch:73   Accuracy:92.39   Best_Accuracy:93.46
Epoch:74   Accuracy:92.99   Best_Accuracy:93.46
Epoch:75   Accuracy:93.35   Best_Accuracy:93.46
Epoch:76   Accuracy:92.90   Best_Accuracy:93.46
Epoch:77   Accuracy:92.74   Best_Accuracy:93.46
Epoch:78   Accuracy:93.43   Best_Accuracy:93.46
Epoch:79   Accuracy:93.23   Best_Accuracy:93.46
Epoch:80   Accuracy:92.45   Best_Accuracy:93.46
Epoch:81   Accuracy:93.00   Best_Accuracy:93.46
Epoch:82   Accuracy:92.85   Best_Accuracy:93.46
Epoch:83   Accuracy:92.98   Best_Accuracy:93.46
Epoch:84   Accuracy:92.95   Best_Accuracy:93.46
Epoch:85   Accuracy:93.27   Best_Accuracy:93.46
Epoch:86   Accuracy:93.30   Best_Accuracy:93.46
Epoch:87   Accuracy:92.71   Best_Accuracy:93.46
Epoch:88   Accuracy:93.17   Best_Accuracy:93.46
Epoch:89   Accuracy:93.04   Best_Accuracy:93.46
Epoch:90   Accuracy:92.86   Best_Accuracy:93.46
Epoch:91   Accuracy:92.18   Best_Accuracy:93.46
Epoch:92   Accuracy:93.23   Best_Accuracy:93.46
Epoch:93   Accuracy:93.18   Best_Accuracy:93.46
